click_id,impression_id,user_id,channel,campaign_id,ad_placement,click_timestamp,device_type,audience_segment
click_00000000,imp_00000011,user_002691,Google Search,camp_005,placement_026,2024-08-01 02:03:07,mobile,students
click_00000001,imp_00000034,user_004930,Campus TV,camp_019,placement_025,2024-04-01 01:00:55,tablet,staff
click_00000002,imp_00000052,user_004847,TikTok,camp_009,placement_010,2024-11-26 17:00:57,desktop,staff
click_00000003,imp_00000107,user_000055,TikTok,camp_018,placement_007,2024-06-10 00:02:26,mobile,students
click_00000004,imp_00000109,user_002539,Campus TV,camp_004,placement_037,2024-10-14 23:02:09,mobile,students
click_00000005,imp_00000179,user_000303,Campus TV,camp_017,placement_012,2024-05-24 07:02:01,desktop,alumni
click_00000006,imp_00000193,user_003041,Campus Radio,camp_018,placement_005,2024-05-25 18:02:33,desktop,staff
click_00000007,imp_00000231,user_000703,Display Network,camp_019,placement_023,2024-07-02 02:02:56,desktop,faculty
click_00000008,imp_00000261,user_000575,YouTube,camp_013,placement_034,2024-10-28 22:02:37,desktop,students
click_00000009,imp_00000327,user_001674,YouTube,camp_012,placement_047,2024-04-27 21:04:11,mobile,students
click_00000010,imp_00000490,user_001811,Campus Radio,camp_002,placement_013,2024-01-30 12:01:37,tablet,students
click_00000011,imp_00000509,user_001271,Google Search,camp_012,placement_023,2024-08-06 07:04:15,desktop,alumni
click_00000012,imp_00000545,user_004515,TikTok,camp_013,placement_046,2024-01-28 15:02:30,desktop,faculty
click_00000013,imp_00000564,user_001756,Campus TV,camp_019,placement_042,2024-03-12 17:00:09,tablet,staff
click_00000014,imp_00000600,user_000496,TikTok,camp_005,placement_045,2024-09-30 09:00:41,mobile,staff
click_00000015,imp_00000640,user_003816,Campus Radio,camp_015,placement_031,2024-02-18 23:01:57,mobile,faculty
click_00000016,imp_00000649,user_003310,Campus Radio,camp_006,placement_025,2024-04-01 15:03:09,mobile,faculty
